,user_id,ab_group,session_id,session_start,session_end,session_date
0,test_user_10021823,1,1,2023-12-07 01:08:51.008309,2023-12-07 01:10:11.804765,2023-12-07
1,test_user_10030144,0,1,2023-12-02 20:37:34.861127,2023-12-02 20:38:14.301560,2023-12-02
2,test_user_1003396,1,1,2023-12-01 00:00:48.238407,2023-12-01 00:01:41.376842,2023-12-01
3,test_user_1003396,1,2,2023-12-02 08:21:13.134305,2023-12-02 08:35:03.351138,2023-12-02
4,test_user_1003396,1,3,2023-12-02 21:12:09.512252,2023-12-02 21:34:53.437896,2023-12-02
5,test_user_1003396,1,4,2023-12-03 14:33:21.477400,2023-12-03 14:46:22.207067,2023-12-03
6,test_user_1003396,1,5,2023-12-03 15:40:25.552902,2023-12-03 15:43:22.968943,2023-12-03
7,test_user_1003396,1,6,2023-12-05 14:40:07.453175,2023-12-05 14:40:58.538497,2023-12-05
8,test_user_1003396,1,7,2023-12-06 15:08:48.958667,2023-12-06 16:27:58.916228,2023-12-06
9,test_user_1003396,1,8,2023-12-10 20:48:47.261972,2023-12-10 20:51:41.616399,2023-12-10
10,test_user_1003396,1,9,2023-12-10 21:23:01.672464,2023-12-10 21:34:33.748228,2023-12-10
11,test_user_1003396,1,10,2023-12-13 20:17:13.731053,2023-12-13 21:12:48.127802,2023-12-13
12,test_user_1003396,1,11,2023-12-14 13:06:32.531755,2023-12-14 13:06:49.856079,2023-12-14
13,test_user_10035974,0,1,2023-12-12 08:07:29.562118,2023-12-12 08:07:30.725319,2023-12-12
14,test_user_1005039,1,1,2023-12-11 17:57:40.134339,2023-12-11 17:58:34.800803,2023-12-11
15,test_user_10051026,0,1,2023-12-11 13:28:33.419579,2023-12-11 13:59:09.803755,2023-12-11
16,test_user_10063799,1,1,2023-12-01 04:06:34.614912,2023-12-01 04:38:01.602445,2023-12-01
17,test_user_10063799,1,2,2023-12-01 05:10:57.416773,2023-12-01 05:11:01.096341,2023-12-01
18,test_user_10063799,1,3,2023-12-04 08:26:39.278180,2023-12-04 08:26:55.821308,2023-12-04
19,test_user_10063799,1,4,2023-12-04 08:58:08.683525,2023-12-04 08:58:45.333789,2023-12-04
20,test_user_10063799,1,5,2023-12-05 13:27:50.619470,2023-12-05 13:35:55.310486,2023-12-05
21,test_user_10063799,1,6,2023-12-06 05:48:31.914529,2023-12-06 05:55:27.430003,2023-12-06
22,test_user_10063799,1,7,2023-12-06 06:43:51.399277,2023-12-06 06:43:53.286315,2023-12-06
23,test_user_10063799,1,8,2023-12-07 04:04:41.283300,2023-12-07 04:37:32.507338,2023-12-07
24,test_user_10063799,1,9,2023-12-08 08:39:58.926473,2023-12-08 09:23:21.266073,2023-12-08
25,test_user_10063799,1,10,2023-12-08 10:32:47.608922,2023-12-08 11:15:22.755685,2023-12-08
26,test_user_10063799,1,11,2023-12-11 13:42:42.716530,2023-12-11 14:23:17.622531,2023-12-11
27,test_user_1006470,0,1,2023-12-05 15:34:15.698900,2023-12-05 15:40:12.961549,2023-12-05
28,test_user_1006682,1,1,2023-12-11 13:56:51.847125,2023-12-11 13:56:51.847125,2023-12-11
29,test_user_10068940,0,1,2023-12-12 07:06:11.258780,2023-12-12 07:19:44.117499,2023-12-12
30,test_user_10068940,0,2,2023-12-12 07:50:47.532138,2023-12-12 07:50:59.530470,2023-12-12
31,test_user_10068940,0,3,2023-12-12 08:37:03.603351,2023-12-12 08:37:23.671861,2023-12-12
32,test_user_10076625,1,1,2023-12-13 09:59:19.595431,2023-12-13 10:02:22.686770,2023-12-13
33,test_user_10076625,1,2,2023-12-13 10:48:23.055804,2023-12-13 10:48:29.263084,2023-12-13
34,test_user_1007901,0,1,2023-12-04 22:31:41.673651,2023-12-04 22:44:44.679987,2023-12-04
35,test_user_10089875,1,1,2023-12-10 20:38:13.823250,2023-12-10 20:39:34.347170,2023-12-10
36,test_user_1009703,1,1,2023-12-10 19:20:24.749616,2023-12-10 20:37:45.649815,2023-12-10
37,test_user_1009703,1,2,2023-12-13 09:36:58.331736,2023-12-13 10:15:02.244156,2023-12-13
38,test_user_1010233,1,1,2023-12-14 13:11:34.600780,2023-12-14 13:14:44.255872,2023-12-14
39,test_user_10108743,1,1,2023-12-09 12:41:57.472260,2023-12-09 12:45:04.439675,2023-12-09
40,test_user_10110810,1,1,2023-12-03 15:28:38.061935,2023-12-03 15:29:26.298288,2023-12-03
41,test_user_10119608,1,1,2023-12-01 16:55:49.240452,2023-12-01 17:00:07.011960,2023-12-01
42,test_user_10119608,1,2,2023-12-02 07:59:08.795963,2023-12-02 07:59:13.765111,2023-12-02
43,test_user_1011982,0,1,2023-12-12 18:55:45.671829,2023-12-12 18:56:12.830104,2023-12-12
44,test_user_10121569,1,1,2023-12-01 16:25:55.834820,2023-12-01 16:27:43.003356,2023-12-01
45,test_user_10121569,1,2,2023-12-01 17:07:19.233133,2023-12-01 17:07:20.952904,2023-12-01
46,test_user_10121569,1,3,2023-12-04 08:19:25.313263,2023-12-04 08:20:29.388397,2023-12-04
47,test_user_10129254,1,1,2023-12-02 20:35:01.383665,2023-12-02 22:15:18.832831,2023-12-02
48,test_user_10129254,1,2,2023-12-04 08:11:30.762135,2023-12-04 08:11:43.834933,2023-12-04
49,test_user_10129254,1,3,2023-12-04 21:17:24.956207,2023-12-04 22:40:11.454735,2023-12-04
50,test_user_10144624,0,1,2023-12-03 16:15:41.052685,2023-12-03 16:37:08.376816,2023-12-03
51,test_user_10144624,0,2,2023-12-13 09:54:32.551931,2023-12-13 09:54:49.659766,2023-12-13
52,test_user_10149129,1,1,2023-12-09 13:43:18.849599,2023-12-09 14:48:24.526825,2023-12-09
53,test_user_10149500,1,1,2023-12-04 22:05:04.348881,2023-12-04 22:14:47.951391,2023-12-04
54,test_user_10152309,0,1,2023-12-07 17:22:46.468148,2023-12-07 17:35:42.418539,2023-12-07
55,test_user_10158934,0,1,2023-12-07 16:06:06.912447,2023-12-07 16:06:31.311873,2023-12-07
56,test_user_101707,0,1,2023-12-09 14:28:32.662562,2023-12-09 14:31:02.919314,2023-12-09
57,test_user_10184321,1,1,2023-12-01 16:49:07.994563,2023-12-01 17:07:15.927523,2023-12-01
58,test_user_10184321,1,2,2023-12-13 19:08:32.399660,2023-12-13 19:56:07.790931,2023-12-13
59,test_user_10184321,1,3,2023-12-13 20:29:10.587073,2023-12-13 20:32:57.763734,2023-12-13
60,test_user_1018766,0,1,2023-12-01 16:29:56.151844,2023-12-01 16:35:55.793163,2023-12-01
61,test_user_10204037,0,1,2023-12-04 19:41:48.947228,2023-12-04 19:42:19.323057,2023-12-04
62,test_user_10204037,0,2,2023-12-07 16:09:12.868282,2023-12-07 16:57:32.290364,2023-12-07
63,test_user_1020568,1,1,2023-12-03 16:00:01.142812,2023-12-03 16:43:27.916310,2023-12-03
64,test_user_1020568,1,2,2023-12-12 06:17:13.316997,2023-12-12 06:21:13.758133,2023-12-12
65,test_user_10206369,0,1,2023-12-06 15:39:03.648458,2023-12-06 15:41:08.484921,2023-12-06
66,test_user_102131,1,1,2023-12-01 01:56:33.043583,2023-12-01 02:38:32.484729,2023-12-01
67,test_user_102131,1,2,2023-12-06 05:32:09.492154,2023-12-06 05:35:36.320839,2023-12-06
68,test_user_10214001,1,1,2023-12-06 15:12:09.010709,2023-12-06 15:15:52.943748,2023-12-06
69,test_user_10214001,1,2,2023-12-09 12:54:07.524664,2023-12-09 12:55:25.509564,2023-12-09
70,test_user_1021946,1,1,2023-12-02 08:59:38.457673,2023-12-02 09:19:07.976265,2023-12-02
71,test_user_1021946,1,2,2023-12-02 23:27:33.735532,2023-12-02 23:27:39.436133,2023-12-02
72,test_user_1021946,1,3,2023-12-12 08:42:35.231402,2023-12-12 09:29:23.591150,2023-12-12
73,test_user_1021946,1,4,2023-12-13 09:32:21.428190,2023-12-13 09:32:39.564986,2023-12-13
74,test_user_1021946,1,5,2023-12-13 10:31:58.201422,2023-12-13 10:38:46.474922,2023-12-13
75,test_user_10222799,0,1,2023-12-13 10:11:15.029318,2023-12-13 10:30:23.651528,2023-12-13
76,test_user_10222799,0,2,2023-12-13 11:09:01.242059,2023-12-13 11:17:50.121904,2023-12-13
